practice_code,region,registered_patients,gp_fte
A88016,"North East and Yorkshire",8289,4.76
A88022,"North East and Yorkshire",11173,7.38
A88023,"North East and Yorkshire",5382,1.97
A88025,"North East and Yorkshire",4401,2.26
A88601,"North East and Yorkshire",4341,1.60
A88608,"North East and Yorkshire",5929,3.07
A88613,"North East and Yorkshire",4278,1.66
A89001,"North East and Yorkshire",13507,8.40
A89002,"North East and Yorkshire",6989,2.04
A89004,"North East and Yorkshire",11829,9.20
A89005,"North East and Yorkshire",5761,4.60
A89006,"North East and Yorkshire",8116,3.09
A89007,"North East and Yorkshire",10111,5.12
A89008,"North East and Yorkshire",5556,2.30
A89009,"North East and Yorkshire",9584,5.13
A89010,"North East and Yorkshire",12297,6.23
A89011,"North East and Yorkshire",4806,4.30
A89012,"North East and Yorkshire",11487,6.97
A89013,"North East and Yorkshire",5654,1.61
A89015,"North East and Yorkshire",9236,4.98
A89016,"North East and Yorkshire",9307,10.45
A89017,"North East and Yorkshire",14526,6.83
A89018,"North East and Yorkshire",5314,2.12
A89019,"North East and Yorkshire",14919,14.99
A89020,"North East and Yorkshire",8631,5.77
A89021,"North East and Yorkshire",8538,5.18
A89022,"North East and Yorkshire",5215,6.00
A89023,"North East and Yorkshire",8393,4.31
A89024,"North East and Yorkshire",7700,5.51
A89025,"North East and Yorkshire",10104,4.36
A89026,"North East and Yorkshire",7208,3.44
A89027,"North East and Yorkshire",6421,4.54
A89028,"North East and Yorkshire",7425,6.52
A89030,"North East and Yorkshire",6623,3.96
A89031,"North East and Yorkshire",7189,5.04
A89032,"North East and Yorkshire",9165,4.07
A89034,"North East and Yorkshire",4373,0.99
A89035,"North East and Yorkshire",10524,4.84
A89036,"North East and Yorkshire",2113,2.21
A89040,"North East and Yorkshire",4658,1.89
A89041,"North East and Yorkshire",8185,3.24
A89614,"North East and Yorkshire",4561,3.85
A89616,"North East and Yorkshire",2760,1.27
A89617,"North East and Yorkshire",3626,2.35
A89623,"North East and Yorkshire",3059,1.53
B81003,"North East and Yorkshire",12783,4.20
B81004,"North East and Yorkshire",12442,8.85
B81005,"North East and Yorkshire",16911,8.77
B81006,"North East and Yorkshire",12485,8.95
B81007,"North East and Yorkshire",9835,6.65
B81008,"North East and Yorkshire",37912,21.07
B81009,"North East and Yorkshire",9099,4.41
B81011,"North East and Yorkshire",10511,6.24
B81012,"North East and Yorkshire",3283,0.99
B81015,"North East and Yorkshire",16973,9.79
B81016,"North East and Yorkshire",10217,5.84
B81017,"North East and Yorkshire",17187,7.32
B81018,"North East and Yorkshire",9289,2.56
B81020,"North East and Yorkshire",8376,6.43
B81022,"North East and Yorkshire",12732,8.82
B81024,"North East and Yorkshire",10770,6.72
B81025,"North East and Yorkshire",33757,32.68
B81026,"North East and Yorkshire",20376,12.35
B81027,"North East and Yorkshire",7954,6.31
B81029,"North East and Yorkshire",11767,11.41
B81030,"North East and Yorkshire",24542,8.96
B81031,"North East and Yorkshire",21189,17.88
B81032,"North East and Yorkshire",5604,0.93
B81034,"North East and Yorkshire",11503,7.13
B81035,"North East and Yorkshire",7117,4.11
B81036,"North East and Yorkshire",18800,11.00
B81037,"North East and Yorkshire",14540,11.34
B81038,"North East and Yorkshire",8165,4.07
B81039,"North East and Yorkshire",34769,23.00
B81040,"North East and Yorkshire",15740,6.93
B81041,"North East and Yorkshire",6197,5.04
B81042,"North East and Yorkshire",13819,13.44
B81043,"North East and Yorkshire",14931,14.60
B81045,"North East and Yorkshire",12482,9.29
B81046,"North East and Yorkshire",8819,4.76
B81047,"North East and Yorkshire",7540,6.96
B81048,"North East and Yorkshire",56646,25.96
B81051,"North East and Yorkshire",10458,10.28
B81052,"North East and Yorkshire",8307,2.00
B81054,"North East and Yorkshire",7977,4.01
B81061,"North East and Yorkshire",47716,31.92
B81063,"North East and Yorkshire",7289,4.33
B81064,"North East and Yorkshire",10554,5.84
B81065,"North East and Yorkshire",11121,1.20
B81068,"North East and Yorkshire",17731,8.25
B81069,"North East and Yorkshire",29276,10.95
B81074,"North East and Yorkshire",12267,1.92
B81075,"North East and Yorkshire",3693,2.15
B81082,"North East and Yorkshire",6537,1.68
B81087,"North East and Yorkshire",7870,4.07
B81088,"North East and Yorkshire",8177,4.18
B81090,"North East and Yorkshire",4656,2.13
B81091,"North East and Yorkshire",5319,7.49
B81092,"North East and Yorkshire",12323,8.09
B81097,"North East and Yorkshire",2662,0.63
B81099,"North East and Yorkshire",10588,8.16
B81100,"North East and Yorkshire",4210,0.75
B81101,"North East and Yorkshire",23516,13.57
B81104,"North East and Yorkshire",7718,2.21
B81108,"North East and Yorkshire",4541,1.64
B81109,"North East and Yorkshire",11928,11.17
B81112,"North East and Yorkshire",13097,4.05
B81113,"North East and Yorkshire",10020,7.94
B81118,"North East and Yorkshire",7759,8.43
B81119,"North East and Yorkshire",6408,2.07
B81606,"North East and Yorkshire",4358,1.07
B81616,"North East and Yorkshire",2913,1.07
B81617,"North East and Yorkshire",9741,2.13
B81619,"North East and Yorkshire",2760,1.24
B81628,"North East and Yorkshire",2825,1.49
B81631,"North East and Yorkshire",4686,1.00
B81635,"North East and Yorkshire",3592,1.23
B81642,"North East and Yorkshire",4306,1.92
B81647,"North East and Yorkshire",3092,1.00
B81648,"North East and Yorkshire",1632,1.40
B81653,"North East and Yorkshire",7495,3.32
B81655,"North East and Yorkshire",3210,1.96
B81656,"North East and Yorkshire",6770,2.13
B81663,"North East and Yorkshire",2935,0.21
B81665,"North East and Yorkshire",2372,0.93
B81666,"North East and Yorkshire",2514,2.69
B81697,"North East and Yorkshire",2859,0.99
B82002,"North East and Yorkshire",7879,9.56
B82004,"North East and Yorkshire",11083,9.96
B82005,"North East and Yorkshire",58423,22.87
B82007,"North East and Yorkshire",9635,9.97
B82008,"North East and Yorkshire",8745,12.45
B82010,"North East and Yorkshire",7864,2.80
B82011,"North East and Yorkshire",5644,4.05
B82012,"North East and Yorkshire",15445,9.04
B82013,"North East and Yorkshire",20390,16.48
B82014,"North East and Yorkshire",6904,3.72
B82016,"North East and Yorkshire",8365,4.13
B82017,"North East and Yorkshire",13509,10.51
B82018,"North East and Yorkshire",6724,6.27
B82019,"North East and Yorkshire",4214,2.24
B82021,"North East and Yorkshire",9909,9.91
B82022,"North East and Yorkshire",5674,5.28
B82023,"North East and Yorkshire",6263,4.00
B82025,"North East and Yorkshire",21181,14.47
B82026,"North East and Yorkshire",32247,32.39
B82027,"North East and Yorkshire",14103,9.04
B82029,"North East and Yorkshire",3234,2.17
B82030,"North East and Yorkshire",5867,6.67
B82031,"North East and Yorkshire",11038,7.51
B82032,"North East and Yorkshire",12302,7.14
B82033,"North East and Yorkshire",10961,9.45
B82034,"North East and Yorkshire",6431,3.33
B82035,"North East and Yorkshire",3607,2.73
B82036,"North East and Yorkshire",7731,8.40
B82037,"North East and Yorkshire",8849,6.59
B82038,"North East and Yorkshire",24730,15.52
B82041,"North East and Yorkshire",15900,13.18
B82042,"North East and Yorkshire",8590,7.09
B82044,"North East and Yorkshire",9440,6.51
B82045,"North East and Yorkshire",4122,1.89
B82046,"North East and Yorkshire",3109,2.20
B82047,"North East and Yorkshire",19177,5.47
B82049,"North East and Yorkshire",8130,7.84
B82050,"North East and Yorkshire",21503,15.15
B82053,"North East and Yorkshire",15214,7.20
B82054,"North East and Yorkshire",16028,13.59
B82057,"North East and Yorkshire",7487,9.89
B82059,"North East and Yorkshire",11302,6.67
B82060,"North East and Yorkshire",12918,10.33
B82061,"North West",7458,7.04
B82063,"North East and Yorkshire",9540,6.17
B82064,"North East and Yorkshire",3587,6.03
B82066,"North East and Yorkshire",9943,7.34
B82067,"North East and Yorkshire",8384,6.12
B82068,"North East and Yorkshire",3634,1.78
B82069,"North East and Yorkshire",7531,4.40
B82071,"North East and Yorkshire",7454,5.31
B82072,"North East and Yorkshire",5043,1.92
B82073,"North East and Yorkshire",10811,4.30
B82074,"North East and Yorkshire",18638,17.31
B82075,"North East and Yorkshire",9593,10.59
B82077,"North East and Yorkshire",6132,5.52
B82078,"North East and Yorkshire",6154,6.76
B82079,"North East and Yorkshire",3715,2.49
B82080,"North East and Yorkshire",18854,13.72
B82081,"North East and Yorkshire",7233,8.88
B82083,"North East and Yorkshire",44823,36.04
B82086,"North East and Yorkshire",5073,4.69
B82088,"North East and Yorkshire",10524,4.71
B82091,"North East and Yorkshire",7690,4.93
B82097,"North East and Yorkshire",11444,7.92
B82098,"North East and Yorkshire",26596,19.76
B82100,"North East and Yorkshire",8462,7.71
B82101,"North East and Yorkshire",5244,5.04
B82104,"North East and Yorkshire",8519,3.76
B82105,"North East and Yorkshire",9404,5.75
B82106,"North East and Yorkshire",4582,0.69
B82609,"North East and Yorkshire",4118,4.24
B82619,"North East and Yorkshire",1765,0.89
B82622,"North East and Yorkshire",1519,1.73
B82628,"North East and Yorkshire",4300,2.31
B83002,"North East and Yorkshire",5488,6.45
